Data;Cota;Fator Acumulado IBXX
2014-12-30;1;1
2014-12-31;1,0002868;1
2015-01-02;0,9799524;0,971721331
2015-01-05;0,972215;0,952148844
2015-01-06;0,9819213;0,960456524
2015-01-07;1,0019268;0,988515896
2015-01-08;1,0105977;0,99663616
2015-01-09;0,9937834;0,975050875
2015-01-12;0,9811264;0,962735955
2015-01-13;0,9817982;0,960136273
2015-01-14;0,9822995;0,953549156
2015-01-15;0,9839734;0,959950306
2015-01-16;0,997268;0,979431982
2015-01-19;0,9753033;0,955534903
2015-01-20;0,979778;0,957411485
2015-01-21;0,997159;0,982979375
2015-01-22;0,9994246;0,987093848
2015-01-23;1,0025942;0,974839307
2015-01-26;1,0017897;0,970705513
2015-01-27;0,9982425;0,970942682
2015-01-28;0,9949298;0,955094377
2015-01-29;0,9981151;0,957083989
2015-01-30;0,9905333;0,941193178
2015-02-02;0,99223;0,954963475
2015-02-03;1,0007886;0,979112698
2015-02-04;1,0034424;0,984859338
2015-02-05;1,0062257;0,984749207
2015-02-06;1,0059171;0,97650094
2015-02-09;1,0099129;0,987771543
2015-02-10;1,0076067;0,97188846
2015-02-11;0,9991805;0,96562739
2015-02-12;1,0093521;0,989798831
2015-02-13;1,0186289;1,009987668
2015-02-18;1,0231224;1,023023273
2015-02-19;1,0233358;1,02398644
2015-02-20;1,0239141;1,022149467
2015-02-23;1,0236521;1,02346235
2015-02-24;1,0275162;1,035024222
2015-02-25;1,0288477;1,034214659
2015-02-26;1,0311372;1,033973142
2015-02-27;1,0279031;1,028961195
2015-03-02;1,0229542;1,018763407
2015-03-03;1,0236268;1,02444194
2015-03-04;1,0166023;1,008587356
2015-03-05;1,0171173;1,006917512
2015-03-06;1,0073479;0,999246469
2015-03-09;0,994821;0,984171017
2015-03-10;0,9904096;0,967134452
2015-03-11;0,9985979;0,979059081
2015-03-12;0,9986606;0,979799087
2015-03-13;0,996256;0,973926858
2015-03-16;0,9981666;0,978108473
2015-03-17;1,0079645;1,004427961
2015-03-18;1,0245106;1,028683451
2015-03-19;1,0237064;1,018337855
2015-03-20;1,0247134;1,037163091
2015-03-23;1,0245716;1,035677282
2015-03-24;1,0243651;1,02856704
2015-03-25;1,0266237;1,035078804
2015-03-26;1,0221131;1,011093813
2015-03-27;1,017972;1,00277937
2015-03-30;1,0266527;1,024874738
2015-03-31;1,0283392;1,023774389
2015-04-01;1,0394817;1,046058622
2015-04-02;1,0503253;1,06117803
2015-04-06;1,0571939;1,073714179
2015-04-07;1,0567762;1,073125362
2015-04-08;1,0570029;1,072324011
2015-04-09;1,0527221;1,074213152
2015-04-10;1,0594441;1,081349961
2015-04-13;1,0589209;1,081644128
2015-04-14;1,0582025;1,077348034
2015-04-15;1,062515;1,093924269
2015-04-16;1,0650562;1,089205522
2015-04-17;1,0605558;1,075590761
2015-04-20;1,0555138;1,071904255
2015-04-22;1,0646595;1,087187411
2015-04-23;1,070455;1,106793711
2015-04-24;1,0798521;1,122699979
2015-04-27;1,07541;1,103182075
2015-04-28;1,0783358;1,10725066
2015-04-29;1,0737896;1,100730201
2015-04-30;1,0774657;1,117091486
2015-05-04;1,0758943;1,138642958
2015-05-05;1,070564;1,151919596
2015-05-06;1,0702354;1,13529216
2015-05-07;1,0691703;1,132229249
2015-05-08;1,0768858;1,137576905
2015-05-11;1,0758521;1,138672423
2015-05-12;1,0747475;1,131044853
2015-05-13;1,0700485;1,122879184
2015-05-14;1,0700485;1,129508809
2015-05-15;1,0806473;1,141627617
2015-05-18;1,078156;1,12200248
2015-05-19;1,0765245;1,109376004
2015-05-20;1,0726596;1,097993337
2015-05-21;1,0704924;1,101800601
2015-05-22;1,0631215;1,087820184
2015-05-25;1,0662936;1,092474205
2015-05-26;1,0605874;1,072598373
2015-05-27;1,0702028;1,084305638
2015-05-28;1,067313;1,078800514
2015-05-29;1,0435166;1,055969005
2015-06-01;1,0477848;1,061748975
2015-06-02;1,0556014;1,084778527
2015-06-03;1,0493714;1,071329929
2015-06-05;1,0461295;1,061884224
2015-06-08;1,0443564;1,058547434
2015-06-09;1,0433129;1,058723257
2015-06-10;1,0421721;1,078362403
2015-06-11;1,0384922;1,074561418
2015-06-12;1,0386773;1,06796947
2015-06-15;1,0391493;1,063762738
2015-06-16;1,0419587;1,074498141
2015-06-17;1,0348705;1,066333922
2015-06-18;1,0460991;1,08439838
2015-06-19;1,0408754;1,075773348
2015-06-22;1,0428806;1,078657053
2015-06-23;1,0429504;1,077094442
2015-06-24;1,0423332;1,077698716
2015-06-25;1,0405108;1,065526291
2015-06-26;1,0508488;1,081520471
2015-06-29;1,0417369;1,061934459
2015-06-30;1,0443225;1,064054973
2015-07-01;1,0504108;1,058789916
2015-07-02;1,0550157;1,066179351
2015-07-03;1,0539508;1,056190717
2015-07-06;1,04707;1,049463037
2015-07-07;1,0446063;1,054080347
2015-07-08;1,0395538;1,042993296
2015-07-09;1,0396234;1,042993296
2015-07-10;1,0497011;1,057993395
2015-07-13;1,0474056;1,067655982
2015-07-14;1,0497382;1,070457089
2015-07-15;1,0450349;1,064999785
2015-07-16;1,0451314;1,06775114
2015-07-17;1,0347312;1,053746088
2015-07-20;1,0382049;1,040148233
2015-07-21;1,0373721;1,038369223
2015-07-22;1,0424333;1,02809077
2015-07-23;1,0337643;1,006352364
2015-07-24;1,0278914;0,995406842
2015-07-27;1,0248022;0,985757779
2015-07-28;1,0321432;1,000887814
2015-07-29;1,0390164;1,013077146
2015-07-30;1,0355599;1,007388469
2015-07-31;1,0473105;1,027443506
2015-08-03;1,0436785;1,013966409
2015-08-04;1,0457401;1,013048164
2015-08-05;1,0483283;1,016548219
2015-08-06;1,0475075;1,010120502
2015-08-07;1,0350138;0,982733994
2015-08-10;1,037523;0,996804738
2015-08-11;1,0370004;0,991507801
2015-08-12;1,0261752;0,977666498
2015-08-13;1,0263339;0,970712275
2015-08-14;1,0223659;0,961207157
2015-08-17;1,0166406;0,955780767
2015-08-18;1,0160947;0,960469566
2015-08-19;1,0139276;0,943045125
2015-08-20;1,007413;0,943047541
2015-08-21;1,0002679;0,92443967
2015-08-24;0,9893102;0,897317864
2015-08-25;0,9908452;0,902107134
2015-08-26;1,0066605;0,931151893
2015-08-27;1,0207624;0,963099196
2015-08-28;1,0140263;0,953299428
2015-08-31;1,006468;0,942672707
2015-09-01;0,9966562;0,919791929
2015-09-02;1,0140572;0,938069405
2015-09-03;1,0325966;0,955866264
2015-09-04;1,0272675;0,939361518
2015-09-08;1,0302625;0,943191001
2015-09-09;1,0249002;0,940317439
2015-09-10;1,0245792;0,936991276
2015-09-11;1,0333411;0,93541514
2015-09-14;1,0470724;0,952668104
2015-09-15;1,0434887;0,955138816
2015-09-16;1,0536874;0,977792086
2015-09-17;1,0559522;0,978486204
2015-09-18;1,0434867;0,95377763
2015-09-21;1,0345962;0,940409699
2015-09-22;1,0380021;0,934747589
2015-09-23;1,0268599;0,91737918
2015-09-24;1,0230467;0,916311195
2015-09-25;1,0243215;0,90816678
2015-09-28;1,0162144;0,892225733
2015-09-29;1,0141424;0,895847512
2015-09-30;1,0278002;0,91341493
2015-10-01;1,0327696;0,91844475
2015-10-02;1,054653;0,95134073
2015-10-05;1,0507722;0,963069248
2015-10-06;1,0523244;0,964149309
2015-10-07;1,0672381;0,985145777
2015-10-08;1,0669001;0,987562873
2015-10-09;1,0660887;0,991951708
2015-10-13;1,0635126;0,955426221
2015-10-14;1,0540148;0,941992114
2015-10-15;1,054709;0,951776908
2015-10-16;1,0553153;0,954309449
2015-10-19;1,0584918;0,958354848
2015-10-20;1,0525616;0,952648783
2015-10-21;1,0524623;0,951965774
2015-10-22;1,0585213;0,96614665
2015-10-23;1,056236;0,962947524
2015-10-26;1,0524037;0,955446991
2015-10-27;1,0509512;0,953019752
2015-10-28;1,0511167;0,946390127
2015-10-29;1,0376655;0,924198154
2015-10-30;1,0381353;0,925806653
2015-11-03;1,0562222;0,965748148
2015-11-04;1,0591831;0,959451816
2015-11-05;1,0632206;0,967232507
2015-11-06;1,0557797;0,945101396
2015-11-09;1,0502373;0,931104556
2015-11-10;1,0547631;0,930185344
2015-11-11;1,0585247;0,947369718
2015-11-12;1,06245;0,943285676
2015-11-13;1,0565673;0,937303315
2015-11-16;1,0553766;0,942985229
2015-11-17;1,0539085;0,95105091
2015-11-18;1,0579022;0,953954903
2015-11-19;1,0615787;0,967432
2015-11-20;1,0616354;0,967432
2015-11-23;1,0657857;0,967829053
2015-11-24;1,0656202;0,969690178
2015-11-25;1,0524129;0,944280723
2015-11-26;1,0637485;0,950113827
2015-11-27;1,0532456;0,925854473
2015-11-30;1,0514736;0,910423509
2015-12-01;1,0468083;0,910608027
2015-12-02;1,051768;0,90847109
2015-12-03;1,0554314;0,936644941
2015-12-04;1,0498206;0,916389929
2015-12-07;1,0515912;0,914306126
2015-12-08;1,0411494;0,898322572
2015-12-09;1,0637959;0,928887919
2015-12-10;1,0527134;0,919436417
2015-12-11;1,0544331;0,912953634
2015-12-14;1,0448542;0,901809586
2015-12-15;1,0478641;0,903016684
2015-12-16;1,0479402;0,906325459
2015-12-17;1,0454663;0,911623845
2015-12-18;1,030288;0,885899453
2015-12-21;1,0287572;0,873731375
2015-12-22;1,0303107;0,879194475
2015-12-23;1,036527;0,890148692
2015-12-24;1,0365836;0,890148692
2015-12-28;1,0335116;0,885941477
2015-12-29;1,0323635;0,883091583
2015-12-30;1,0317511;0,875910819
