Data;Cota;Fator Acumulado CDI
2015-01-30;1;1
2015-02-02;0,9987846;1,000454778
2015-02-03;0,9953084;1,000909762
2015-02-04;0,998777;1,001364953
2015-02-05;0,9952705;1,001820352
2015-02-06;1,001768;1,002275957
2015-02-09;0,9980554;1,00273177
2015-02-10;1,0110738;1,00318779
2015-02-11;1,0205763;1,003644017
2015-02-12;1,0118024;1,004100452
2015-02-13;1,0068412;1,004557094
2015-02-18;1,0038946;1,005013944
2015-02-19;1,0044041;1,005471002
2015-02-20;1,0043775;1,005928268
2015-02-23;1,004941;1,006385742
2015-02-24;0,9982729;1,006843423
2015-02-25;0,9988322;1,007301313
2015-02-26;0,9974964;1,007759411
2015-02-27;1,0086638;1,008217718
2015-03-02;1,0063083;1,008676232
2015-03-03;1,0044922;1,009134956
2015-03-04;1,0019798;1,009593888
2015-03-05;1,0019147;1,01007086
2015-03-06;1,0160976;1,010548058
2015-03-09;1,0389349;1,011025481
2015-03-10;1,0374508;1,011503129
2015-03-11;1,0291721;1,011981004
2015-03-12;1,0253397;1,012459104
2015-03-13;1,0413058;1,01293743
2015-03-16;1,0377517;1,013415982
2015-03-17;1,0270378;1,01389476
2015-03-18;1,0192412;1,014373764
2015-03-19;1,0173298;1,014852994
2015-03-20;1,0031485;1,015332451
2015-03-23;1,0083425;1,015812135
2015-03-24;1,0087399;1,016292045
2015-03-25;1,014769;1,016772182
2015-03-26;1,0273788;1,017252545
2015-03-27;1,0338427;1,017733136
2015-03-30;1,0205814;1,018213953
2015-03-31;1,0165966;1,018694998
2015-04-01;1,000816;1,01917627
2015-04-02;0,9985816;1,01965777
2015-04-06;0,9985037;1,020139496
2015-04-07;1,0039053;1,020621451
2015-04-08;0,999242;1,021103633
2015-04-09;0,9937739;1,021586043
2015-04-10;0,9935156;1,022068681
2015-04-13;0,9979353;1,022551547
2015-04-14;0,9926281;1,023034641
2015-04-15;0,9812765;1,023517963
2015-04-16;0,985057;1,024001514
2015-04-17;0,9999866;1,024485293
2015-04-20;0,9974294;1,0249693
2015-04-22;0,9866418;1,025453536
2015-04-23;0,9771326;1,025938001
2015-04-24;0,9689116;1,026422695
2015-04-27;0,9777143;1,02690798
2015-04-28;0,9845279;1,027393856
2015-04-29;0,9912212;1,027879962
2015-04-30;0,9835941;1,028383648
2015-05-04;0,966204;1,02888758
2015-05-05;0,952828;1,02939176
2015-05-06;0,9595819;1,029896187
2015-05-07;0,9591132;1,030400861
2015-05-08;0,9566139;1,030905782
2015-05-11;0,9563267;1,03141095
2015-05-12;0,9552059;1,031916366
2015-05-13;0,9550892;1,03242203
2015-05-14;0,9550892;1,032927942
2015-05-15;0,9308507;1,033434101
2015-05-18;0,9308507;1,033940509
2015-05-19;0,9673206;1,034447165
2015-05-20;0,9656682;1,034954068
2015-05-21;0,9681252;1,035461221
2015-05-22;1,0034525;1,035968622
2015-05-25;0,9957085;1,036476271
2015-05-26;1,0329846;1,036984169
2015-05-27;1,0193594;1,037492317
2015-05-28;1,0122582;1,038000713
2015-05-29;1,0154669;1,038509358
2015-06-01;1,0106455;1,039018252
2015-06-02;0,9690096;1,039527396
2015-06-03;0,9786153;1,04003679
2015-06-05;1,0066249;1,040564641
2015-06-08;0,9885259;1,041092759
2015-06-09;0,9864282;1,041621146
2015-06-10;0,9672979;1,042149801
2015-06-11;0,9703345;1,042678725
2015-06-12;0,9794723;1,043207917
2015-06-15;0,9821779;1,043737377
2015-06-16;0,9618759;1,044267106
2015-06-17;0,9631994;1,044797104
2015-06-18;0,952952;1,045327371
2015-06-19;0,9699416;1,045857907
2015-06-22;0,9629848;1,046388712
2015-06-23;0,970962;1,046919787
2015-06-24;0,9741218;1,047451131
2015-06-25;0,9903842;1,047982745
2015-06-26;0,9851646;1,048514629
2015-06-29;0,9895941;1,049046783
2015-06-30;0,9865013;1,049579206
2015-07-01;1,0148491;1,0501119
2015-07-02;0,9926507;1,050644865
2015-07-03;1,0156051;1,0511781
2015-07-06;1,0264343;1,051711605
2015-07-07;1,0523009;1,052245381
2015-07-08;1,0552448;1,052779429
2015-07-09;1,055664;1,053313747
2015-07-10;1,02397;1,053848336
2015-07-13;1,0201819;1,054383197
2015-07-14;1,0148166;1,054918329
2015-07-15;1,027629;1,055453733
2015-07-16;1,0324731;1,055989408
2015-07-17;1,0584336;1,056525356
2015-07-20;1,0681048;1,057061575
2015-07-21;1,0531955;1,057598067
2015-07-22;1,0813541;1,05813483
2015-07-23;1,1095885;1,058671867
2015-07-24;1,1375696;1,059209176
2015-07-27;1,1290458;1,059746757
2015-07-28;1,1202045;1,060284611
2015-07-29;1,1072576;1,060822739
2015-07-30;1,1193022;1,06137963
2015-07-31;1,0930254;1,061936813
2015-08-03;1,0858031;1,062494289
2015-08-04;1,0917414;1,063052058
2015-08-05;1,0945291;1,063610119
2015-08-06;1,1265632;1,064168473
2015-08-07;1,145482;1,064727121
2015-08-10;1,1293684;1,065286062
2015-08-11;1,1216874;1,065845296
2015-08-12;1,1248458;1,066404823
2015-08-13;1,1232612;1,066964645
2015-08-14;1,1261961;1,06752476
2015-08-17;1,1272883;1,06808517
2015-08-18;1,1250084;1,068645873
2015-08-19;1,1330136;1,069206871
2015-08-20;1,1150744;1,069768163
2015-08-21;1,1124816;1,07032975
2015-08-24;1,0979827;1,070891632
2015-08-25;1,1395492;1,071453809
2015-08-26;1,1457602;1,072016281
2015-08-27;1,1197253;1,072579048
2015-08-28;1,1326334;1,073142111
2015-08-31;1,1587933;1,073705469
2015-09-01;1,1963852;1,074269123
2015-09-02;1,2200666;1,074833073
2015-09-03;1,2213203;1,075397319
2015-09-04;1,2439348;1,075961861
2015-09-08;1,2278949;1,0765267
2015-09-09;1,2238143;1,077091835
2015-09-10;1,2557639;1,077657267
2015-09-11;1,2545648;1,078222995
2015-09-14;1,2459111;1,078789021
2015-09-15;1,2440497;1,079355343
2015-09-16;1,2278839;1,079921963
2015-09-17;1,2149246;1,080488881
2015-09-18;1,2655211;1,081056096
2015-09-21;1,2906998;1,081623609
2015-09-22;1,3053451;1,082191419
2015-09-23;1,308435;1,082759528
2015-09-24;1,3194932;1,083327935
2015-09-25;1,3317577;1,083896641
2015-09-28;1,3394319;1,084465645
2015-09-29;1,3304815;1,085034947
2015-09-30;1,337127;1,085604549
2015-10-01;1,3321237;1,086174449
2015-10-02;1,340759;1,086744649
2015-10-05;1,3467001;1,087315148
2015-10-06;1,3438987;1,087885947
2015-10-07;1,3389698;1,088457045
2015-10-08;1,3115159;1,089028443
2015-10-09;1,2916615;1,089600141
2015-10-13;1,3635286;1,090172139
2015-10-14;1,3640063;1,090744437
2015-10-15;1,3646154;1,091317036
2015-10-16;1,3578091;1,091889936
2015-10-19;1,3587052;1,092463136
2015-10-20;1,3466637;1,093036637
2015-10-21;1,3556208;1,093610439
2015-10-22;1,3433718;1,094184542
2015-10-23;1,3647984;1,094758947
2015-10-26;1,360709;1,095333653
2015-10-27;1,3520282;1,095908661
2015-10-28;1,3392861;1,096483971
2015-10-29;1,3577196;1,097059583
2015-10-30;1,347918;1,097635497
2015-11-03;1,3133304;1,098211713
2015-11-04;1,3241148;1,098788232
2015-11-05;1,3206439;1,099365054
2015-11-06;1,3187273;1,099942178
2015-11-09;1,3213104;1,100519605
2015-11-10;1,3282885;1,101097335
2015-11-11;1,3109567;1,101675369
2015-11-12;1,3081353;1,102253706
2015-11-13;1,3228064;1,102832347
2015-11-16;1,3187937;1,103411291
2015-11-17;1,3193993;1,10399054
2015-11-18;1,311131;1,104570092
2015-11-19;1,2943043;1,105149949
2015-11-20;1,2948955;1,10573011
2015-11-23;1,2997113;1,106310576
2015-11-24;1,298505;1,106891346
2015-11-25;1,3227473;1,107472422
2015-11-26;1,3245899;1,108053802
2015-11-27;1,3504869;1,108635488
2015-11-30;1,3780626;1,109217479
2015-12-01;1,3680759;1,109799775
2015-12-02;1,3658848;1,110382377
2015-12-03;1,3448226;1,110965285
2015-12-04;1,3434188;1,111548499
2015-12-07;1,3394102;1,112132019
2015-12-08;1,334717;1,112715846
2015-12-09;1,3600242;1,113299979
2015-12-10;1,3557753;1,113884418
2015-12-11;1,3491515;1,114469165
2015-12-14;1,3460332;1,115054218
2015-12-15;1,3538132;1,115639578
2015-12-16;1,3470839;1,116225246
2015-12-17;1,3480742;1,116811221
2015-12-18;1,3326417;1,117397504
2015-12-21;1,3516018;1,117984095
2015-12-22;1,3452058;1,118570994
2015-12-23;1,3439194;1,1191582
2015-12-24;1,3445887;1,119745715
2015-12-28;1,3366781;1,120333539
2015-12-29;1,3428326;1,12092167
2015-12-30;1,3560743;1,121510111
2015-12-31;1,3567107;1,122098861
2016-01-04;1,3686989;1,122687919
2016-01-05;1,3642317;1,123277287
2016-01-06;1,3615988;1,123866965
2016-01-07;1,3633263;1,124456951
2016-01-08;1,3615894;1,125047248
2016-01-11;1,3479239;1,125637854
2016-01-12;1,3483321;1,126228771
2016-01-13;1,3347557;1,126819998
2016-01-14;1,3562506;1,127411535
2016-01-15;1,3460093;1,128003382
2016-01-18;1,3387671;1,128595541
2016-01-19;1,3430787;1,12918801
2016-01-20;1,3644691;1,12978079
2016-01-21;1,3749691;1,130373881
2016-01-22;1,3697483;1,130967284
2016-01-25;1,3704026;1,131560998
2016-01-26;1,34418;1,132155024
2016-01-27;1,3479166;1,132749362
2016-01-28;1,3481837;1,133344012
2016-01-29;1,3167286;1,133938974
2016-02-01;1,3073037;1,134534248
2016-02-02;1,3125364;1,135129835
2016-02-03;1,2924347;1,135725734
2016-02-04;1,2823368;1,136321947
2016-02-05;1,2890775;1,136918472
2016-02-10;1,2933269;1,13751531
2016-02-11;1,3054154;1,138112462
2016-02-12;1,3060743;1,138709927
2016-02-15;1,3142401;1,139307706
2016-02-16;1,3273935;1,139905799
2016-02-17;1,30906;1,140504205
2016-02-18;1,3240088;1,141102926
2016-02-19;1,3192395;1,141701961
2016-02-22;1,3296653;1,142301311
2016-02-23;1,3225076;1,142900975
2016-02-24;1,32221;1,143500954
2016-02-25;1,3227685;1,144101248
2016-02-26;1,3206243;1,144701857
2016-02-29;1,3287385;1,145302781
2016-03-01;1,3244782;1,145904021
2016-03-02;1,3176301;1,146505576
2016-03-03;1,330664;1,147107448
2016-03-04;1,3490334;1,147709635
2016-03-07;1,3283898;1,148312138
2016-03-08;1,3750111;1,148914958
2016-03-09;1,4034395;1,149518094
2016-03-10;1,3992856;1,150121547
2016-03-11;1,4120658;1,150725316
2016-03-14;1,4041419;1,151329403
2016-03-15;1,3767455;1,151933806
2016-03-16;1,390271;1,152538527
2016-03-17;1,4308855;1,153143565
2016-03-18;1,4336562;1,153748921
2016-03-21;1,4383946;1,154354595
2016-03-22;1,4489;1,154960587
2016-03-23;1,4222244;1,155566897
2016-03-24;1,4104714;1,156173525
2016-03-28;1,442346;1,156780471
2016-03-29;1,453343;1,157387736
2016-03-30;1,4526017;1,15799532
2016-03-31;1,4452857;1,158603223
2016-04-01;1,4521628;1,159211445
2016-04-04;1,4377621;1,159819987
2016-04-05;1,4397155;1,160428847
2016-04-06;1,4340616;1,161038028
2016-04-07;1,4303104;1,161647528
2016-04-08;1,4654563;1,162257348
2016-04-11;1,4818729;1,162867489
2016-04-12;1,4987132;1,163477949
2016-04-13;1,5297125;1,16408873
2016-04-14;1,540609;1,164699832
2016-04-15;1,5338883;1,165311255
2016-04-18;1,528758;1,165922998
2016-04-19;1,5340703;1,166535063
2016-04-20;1,5344267;1,167147449
2016-04-22;1,5269375;1,167760156
2016-04-25;1,5278196;1,168373185
2016-04-26;1,5426772;1,168986536
2016-04-27;1,562044;1,169600209
2016-04-28;1,5523634;1,170214204
2016-04-29;1,5692459;1,170828522
2016-05-02;1,5565495;1,171443161
2016-05-03;1,5266768;1,172058124
2016-05-04;1,5254908;1,172673409
2016-05-05;1,5224526;1,173289018
2016-05-06;1,529914;1,173904949
2016-05-09;1,5177257;1,174521204
2016-05-10;1,5555238;1,175137782
2016-05-11;1,5760574;1,175754684
2016-05-12;1,5809566;1,17637191
2016-05-13;1,5568948;1,17698946
2016-05-16;1,5498324;1,177607334
2016-05-17;1,5292037;1,178225533
2016-05-18;1,507879;1,178844056
2016-05-19;1,5098051;1,179462904
2016-05-20;1,5269131;1,180082076
2016-05-23;1,5024796;1,180701574
2016-05-24;1,4946431;1,181321397
2016-05-25;1,4888008;1,181941545
2016-05-27;1,4859775;1,182562019
2016-05-30;1,4921419;1,183182818
2016-05-31;1,4812852;1,183803944
2016-06-01;1,4863575;1,184425395
2016-06-02;1,5031342;1,185047173
2016-06-03;1,5353944;1,185669277
2016-06-06;1,5372123;1,186291707
2016-06-07;1,5434505;1,186914465
2016-06-08;1,586118;1,187537549
2016-06-09;1,5635108;1,188160961
2016-06-10;1,5417428;1,188784699
2016-06-13;1,5391071;1,189408766
2016-06-14;1,5299872;1,190033159
2016-06-15;1,5301841;1,190657881
2016-06-16;1,5364385;1,19128293
2016-06-17;1,5528195;1,191908308
2016-06-20;1,5761014;1,192534014
2016-06-21;1,5931103;1,193160048
2016-06-22;1,5847872;1,193786412
2016-06-23;1,5974573;1,194413103
2016-06-24;1,5946149;1,195040124
2016-06-27;1,5745316;1,195667474
2016-06-28;1,6048886;1,196295154
2016-06-29;1,6238598;1,196923162
2016-06-30;1,6284709;1,197551501
2016-07-01;1,6485606;1,198180169
2016-07-04;1,6550504;1,198809168
2016-07-05;1,6343911;1,199438496
2016-07-06;1,6246699;1,200068155
2016-07-07;1,6274336;1,200698145
2016-07-08;1,6604449;1,201328465
2016-07-11;1,6821669;1,201959116
2016-07-12;1,6877582;1,202590099
2016-07-13;1,6852991;1,203221412
2016-07-14;1,6959223;1,203853057
2016-07-15;1,6951676;1,204485033
2016-07-18;1,7156091;1,205117342
2016-07-19;1,7132498;1,205749982
2016-07-20;1,7114867;1,206382954
2016-07-21;1,6930468;1,207016259
2016-07-22;1,6878179;1,207649896
2016-07-25;1,6820938;1,208283865
2016-07-26;1,6659812;1,208918168
2016-07-27;1,6674611;1,209552803
2016-07-28;1,6494712;1,210187772
2016-07-29;1,7054128;1,210823074
2016-08-01;1,6904896;1,211458709
2016-08-02;1,6789628;1,212094679
2016-08-03;1,690992;1,212730982
2016-08-04;1,7110866;1,213367619
2016-08-05;1,7164655;1,21400459
2016-08-08;1,7124136;1,214641895
2016-08-09;1,7221774;1,215279536
2016-08-10;1,7161298;1,215917511
2016-08-11;1,7183441;1,21655582
2016-08-12;1,7188587;1,217194465
2016-08-15;1,7175092;1,217833446
2016-08-16;1,7140925;1,218472761
2016-08-17;1,7186053;1,219112412
2016-08-18;1,7179784;1,2197524
2016-08-19;1,7186475;1,220392723
2016-08-22;1,719899;1,221033382
2016-08-23;1,7237951;1,221674377
2016-08-24;1,7290224;1,222315709
2016-08-25;1,7283031;1,222957378
2016-08-26;1,7314366;1,223599383
2016-08-29;1,7274091;1,224241726
2016-08-30;1,7310247;1,224884406
2016-08-31;1,7348819;1,225527423
2016-09-01;1,7441451;1,226170777
2016-09-02;1,7580219;1,22681447
2016-09-05;1,7539914;1,2274585
2016-09-06;1,7670433;1,228102869
2016-09-08;1,7669929;1,228747575
2016-09-09;1,7594489;1,22939262
2016-09-12;1,7606172;1,230038004
2016-09-13;1,765095;1,230683727
2016-09-14;1,7671148;1,231329788
2016-09-15;1,7725342;1,231976189
2016-09-16;1,7719134;1,232622929
2016-09-19;1,770955;1,233270008
2016-09-20;1,7672894;1,233917428
2016-09-21;1,7782478;1,234565187
2016-09-22;1,8005304;1,235213286
