Data;Cota;Fator Acumulado CDI
2014-12-30;1,00000000;1,00000000
2014-12-31;1,00034900;1,00043455
2015-01-02;1,00411320;1,00086929
2015-01-05;1,00456750;1,00130421
2015-01-06;1,00691510;1,00173932
2015-01-07;1,00534740;1,00217462
2015-01-08;1,00854820;1,00261011
2015-01-09;1,00887340;1,00304579
2015-01-12;1,00867190;1,00348166
2015-01-13;1,00806290;1,00391772
2015-01-14;1,00831650;1,00435397
2015-01-15;1,00699560;1,00479041
2015-01-16;1,00964860;1,00522704
2015-01-19;1,00881870;1,00566386
2015-01-20;1,01007090;1,00610087
2015-01-21;1,00970340;1,00653807
2015-01-22;1,00891900;1,00697546
2015-01-23;1,02581040;1,00743163
2015-01-26;1,02481180;1,00788765
2015-01-27;1,02491400;1,00834387
2015-01-28;1,02640360;1,00880030
2015-01-29;1,02594860;1,00925694
2015-01-30;1,02943110;1,00971378
2015-02-02;1,02678810;1,01017083
2015-02-03;1,02712020;1,01062809
2015-02-04;1,02994720;1,01108591
2015-02-05;1,02950300;1,01154394
2015-02-06;1,03355000;1,01200218
2015-02-09;1,03203080;1,01246062
2015-02-10;1,03529140;1,01291927
2015-02-11;1,03600950;1,01337813
2015-02-12;1,03729970;1,01383720
2015-02-13;1,03486890;1,01429648
2015-02-18;1,03244640;1,01475596
2015-02-19;1,03038320;1,01521565
2015-02-20;1,02912490;1,01567555
2015-02-23;1,03081130;1,01613566
2015-02-24;1,02814570;1,01659598
2015-02-25;1,02940690;1,01705651
2015-02-26;1,02916160;1,01751724
2015-02-27;1,02936440;1,01797818
2015-03-02;1,03069410;1,01843933
2015-03-03;1,03220970;1,01890069
2015-03-04;1,03447570;1,01936226
2015-03-05;1,03606550;1,01982404
2015-03-06;1,03673580;1,02030441
2015-03-09;1,03501390;1,02078500
2015-03-10;1,03722230;1,02126582
2015-03-11;1,03603150;1,02174687
2015-03-12;1,03283860;1,02222814
2015-03-13;1,03776450;1,02270964
2015-03-16;1,03725160;1,02319137
2015-03-17;1,03272130;1,02367332
2015-03-18;1,03130570;1,02415550
2015-03-19;1,03635260;1,02463791
2015-03-20;1,02382510;1,02512054
2015-03-23;1,02693640;1,02560340
2015-03-24;1,03089550;1,02608685
2015-03-25;1,02764760;1,02657053
2015-03-26;1,03641330;1,02705444
2015-03-27;1,03496860;1,02753858
2015-03-30;1,02702910;1,02802294
2015-03-31;1,03061210;1,02850717
2015-04-01;1,02641880;1,02899163
2015-04-02;1,02276210;1,02947632
2015-04-06;1,02171460;1,02996123
2015-04-07;1,02429340;1,03044637
2015-04-08;1,02919280;1,03093174
2015-04-09;1,02435540;1,03141734
2015-04-10;1,02312860;1,03190317
2015-04-13;1,02423020;1,03238923
2015-04-14;1,02786590;1,03287552
2015-04-15;1,02055770;1,03336204
2015-04-16;1,02377120;1,03384878
2015-04-17;1,03266290;1,03433575
2015-04-20;1,03203770;1,03482295
2015-04-22;1,03029190;1,03531038
2015-04-23;1,01511250;1,03579804
2015-04-24;1,01007380;1,03628593
2015-04-27;1,01583090;1,03677405
2015-04-28;1,01811050;1,03726277
2015-04-29;1,02207660;1,03775208
2015-04-30;1,01116020;1,03824162
2015-05-04;0,99375080;1,03874929
2015-05-05;0,97872570;1,03925721
2015-05-06;0,97993210;1,03976611
2015-05-07;0,98244570;1,04027526
2015-05-08;0,99007390;1,04078465
2015-05-11;0,99285840;1,04129429
2015-05-12;0,99388400;1,04180418
2015-05-13;0,99379560;1,04231432
2015-05-14;0,99626870;1,04282471
2015-05-15;0,99447130;1,04333535
2015-05-18;0,99853040;1,04384624
2015-05-19;1,00182720;1,04435738
2015-05-20;1,00189020;1,04486877
2015-05-21;1,00047220;1,04538041
2015-05-22;1,00073300;1,04589230
2015-05-25;1,00215040;1,04640445
2015-05-26;1,00736030;1,04691685
2015-05-27;1,00958050;1,04742950
2015-05-28;1,00945910;1,04794240
2015-05-29;1,00552940;1,04845555
2015-06-01;1,00678090;1,04896895
2015-06-02;1,00477200;1,04948260
2015-06-03;1,00452670;1,04999650
2015-06-05;1,00828080;1,05051066
2015-06-08;1,00657910;1,05104383
2015-06-09;1,00632180;1,05157727
2015-06-10;1,00389410;1,05211098
2015-06-11;1,00571970;1,05264496
2015-06-12;1,00885130;1,05317921
2015-06-15;1,01200780;1,05371373
2015-06-16;1,01400620;1,05424852
2015-06-17;1,01213820;1,05478358
2015-06-18;1,01574840;1,05531892
2015-06-19;1,01599690;1,05585453
2015-06-22;1,01661810;1,05639041
2015-06-23;1,01774640;1,05692656
2015-06-24;1,01924130;1,05746298
2015-06-25;1,02191950;1,05799968
2015-06-26;1,02407620;1,05853665
2015-06-29;1,02513420;1,05907389
2015-06-30;1,02458590;1,05961140
2015-07-01;1,02743620;1,06014919
2015-07-02;1,02937720;1,06068725
2015-07-03;1,03269550;1,06122558
2015-07-06;1,03162520;1,06176418
2015-07-07;1,03063420;1,06230306
2015-07-08;1,03237600;1,06284221
2015-07-09;1,03280920;1,06338164
2015-07-10;1,03533450;1,06392134
2015-07-13;1,03463000;1,06446131
2015-07-14;1,03634230;1,06500156
2015-07-15;1,03380690;1,06554208
2015-07-16;1,03584740;1,06608288
2015-07-17;1,03589420;1,06662395
2015-07-20;1,03859880;1,06716529
2015-07-21;1,03837160;1,06770691
2015-07-22;1,04083510;1,06824880
2015-07-23;1,04083360;1,06879097
2015-07-24;1,04258120;1,06933341
2015-07-27;1,04422230;1,06987613
2015-07-28;1,04704980;1,07041913
2015-07-29;1,04841580;1,07096240
2015-07-30;1,04545740;1,07150595
2015-07-31;1,04838340;1,07206808
2015-08-03;1,05432080;1,07263050
2015-08-04;1,05743200;1,07319322
2015-08-05;1,05878730;1,07375623
2015-08-06;1,06488090;1,07431954
2015-08-07;1,06422090;1,07488314
2015-08-10;1,06328610;1,07544704
2015-08-11;1,06473310;1,07601123
2015-08-12;1,06435270;1,07657572
2015-08-13;1,06614590;1,07714051
2015-08-14;1,06493870;1,07770559
2015-08-17;1,06178520;1,07827097
2015-08-18;1,05955670;1,07883665
2015-08-19;1,06564840;1,07940262
2015-08-20;1,06333130;1,07996889
2015-08-21;1,06485280;1,08053546
2015-08-24;1,06320110;1,08110232
2015-08-25;1,06499880;1,08166948
2015-08-26;1,06542220;1,08223694
2015-08-27;1,06329700;1,08280470
2015-08-28;1,06505250;1,08337275
2015-08-31;1,06748480;1,08394110
2015-09-01;1,07232110;1,08450975
2015-09-02;1,07984750;1,08507870
2015-09-03;1,08509100;1,08564795
2015-09-04;1,08828240;1,08621750
2015-09-08;1,09363780;1,08678734
2015-09-09;1,09251430;1,08735748
2015-09-10;1,09379420;1,08792792
2015-09-11;1,09983300;1,08849866
2015-09-14;1,10003360;1,08906970
2015-09-15;1,09752810;1,08964104
2015-09-16;1,09348520;1,09021268
2015-09-17;1,09511890;1,09078462
2015-09-18;1,09707620;1,09135686
2015-09-21;1,09969880;1,09192940
