Cotas e indexadores;;;;;;;;;;
;;;;;;;;;;
Fundos;Cota 27/12|NAV/Share 12/27;Dia;Mes;Ano;12 Meses;24 Meses;36 Meses;Inicio;PL (R$);PL 12M (R$)
VISTA MULTIESTRATEGIA FIM;2.74741763;0.663;-1.781;35.728;36.002;45.619;104.331;174.742;188444676.99;118680616.40
CDI;;2,693.018;-401.124;35.728;560.149;266.231;310.393;;;
VISTA HEDGE FIM;1.0881708;0.241;-0.365;8.817;0.000;0.000;0.000;8.817;47502703.60;45205506.47
CDI;;977.164;-82.285;8.817;0.000;0.000;0.000;;;
VISTA FIA;2.42762579;0.633;-2.545;20.803;21.617;57.093;134.195;142.763;76442287.44;61181024.18
IBX;;151.397;64.266;20.803;167.889;121.712;144.820;;;
BRAZIL OPPORTUNITIES FIM;1.00834717;1.099;-2.392;0.835;0.000;0.000;0.000;0.835;58891375.73;51977624.88
CDI;;4,465.373;-538.514;0.835;0.000;0.000;0.000;;;
;;;;;;;;;;
Indexadores;;Dia;Mes;Ano;12 meses;24 meses;36 meses;;;
IBX;;0.418;-3.960;12.297;12.876;46.908;92.663;;;
CDI;;0.025;0.444;6.371;6.427;17.135;33.613;;;
